#DEBUG: Format Typ    -> tdf
#DEBUG: Time Period   -> 2015-01-01 00:00:00+00:00 2015-01-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station	valid	lon	lat	 tmpc 	  dwpc 	  relh 	  drct 	  sped 	  p01m 	  vsby 	  gust_mph
NYC	2015-01-06 04:51	-73.9693	40.7790	-5.60	-18.30	36.06	M	6.9	0.00	10.00	M
LGA	2015-01-06 05:51	-73.8803	40.7794	-6.10	-17.20	41.11	300.00	13.8	0.00	10.00	M
NYC	2015-01-06 05:51	-73.9693	40.7790	-6.10	-19.40	34.11	310.00	10.4	0.00	10.00	19.6
JFK	2015-01-06 05:51	-73.7622	40.6386	-5.60	-19.40	32.83	300.00	17.3	0.00	10.00	M
NYC	2015-01-06 06:51	-73.9693	40.7790	-6.70	-18.90	37.27	M	3.5	0.00	10.00	M
LGA	2015-01-06 06:51	-73.8803	40.7794	-6.70	-17.20	43.04	310.00	15.0	0.00	10.00	23.0
JFK	2015-01-06 06:51	-73.7622	40.6386	-6.10	-19.40	34.11	310.00	19.6	0.00	10.00	M
JFK	2015-01-06 07:51	-73.7622	40.6386	-6.70	-18.90	37.27	320.00	12.7	0.00	10.00	M
NYC	2015-01-06 07:51	-73.9693	40.7790	-6.70	-18.90	37.27	M	6.9	0.00	10.00	M
LGA	2015-01-06 07:51	-73.8803	40.7794	-6.70	-17.20	43.04	320.00	12.7	0.00	10.00	19.6
LGA	2015-01-06 08:51	-73.8803	40.7794	-7.20	-17.20	44.73	340.00	9.2	0.00	10.00	M
JFK	2015-01-06 08:51	-73.7622	40.6386	-6.70	-18.90	37.27	320.00	6.9	0.00	10.00	M
NYC	2015-01-06 08:51	-73.9693	40.7790	-6.70	-18.90	37.27	310.00	6.9	0.00	10.00	M
NYC	2015-01-06 09:51	-73.9693	40.7790	-6.70	-18.90	37.27	M	4.6	0.00	10.00	M
LGA	2015-01-06 09:51	-73.8803	40.7794	-6.70	-17.20	43.04	M	6.9	0.00	10.00	16.1
JFK	2015-01-06 09:51	-73.7622	40.6386	-6.10	-18.30	37.46	310.00	9.2	0.00	10.00	M
NYC	2015-01-06 10:51	-73.9693	40.7790	-7.20	-18.90	38.73	0.00	0.0	0.00	10.00	M
JFK	2015-01-06 10:51	-73.7622	40.6386	-6.10	-17.80	39.08	290.00	5.8	0.00	10.00	M
LGA	2015-01-06 10:51	-73.8803	40.7794	-7.20	-17.20	44.73	340.00	6.9	0.00	10.00	M
JFK	2015-01-06 11:51	-73.7622	40.6386	-6.10	-18.30	37.46	290.00	10.4	0.00	10.00	M
LGA	2015-01-06 11:51	-73.8803	40.7794	-6.70	-17.20	43.04	300.00	10.4	0.00	10.00	M
NYC	2015-01-06 11:51	-73.9693	40.7790	-6.70	-17.80	40.92	270.00	9.2	0.00	10.00	M
NYC	2015-01-06 12:51	-73.9693	40.7790	-6.70	-17.80	40.92	M	3.5	0.00	10.00	M
JFK	2015-01-06 12:51	-73.7622	40.6386	-6.10	-16.70	42.87	240.00	3.5	0.00	9.00	M
LGA	2015-01-06 12:51	-73.8803	40.7794	-6.70	-17.20	43.04	0.00	0.0	0.00	8.00	M
JFK	2015-01-06 13:37	-73.7622	40.6386	-7.00	-14.00	57.41	340.00	5.8	0.00	3.00	M
NYC	2015-01-06 13:39	-73.9693	40.7790	-7.20	-13.90	58.78	0.00	0.0	0.00	1.75	M
LGA	2015-01-06 13:51	-73.8803	40.7794	-7.20	-13.90	58.78	130.00	3.5	0.00	2.00	M
NYC	2015-01-06 13:51	-73.9693	40.7790	-7.20	-13.90	58.78	0.00	0.0	0.00	1.25	M
JFK	2015-01-06 13:51	-73.7622	40.6386	-6.70	-12.80	61.85	350.00	3.5	0.00	2.50	M
JFK	2015-01-06 14:00	-73.7622	40.6386	-7.00	-13.00	62.28	10.00	4.6	0.00	1.75	M
LGA	2015-01-06 14:05	-73.8803	40.7794	-8.00	-12.00	72.93	200.00	4.6	0.00	1.00	M
NYC	2015-01-06 14:26	-73.9693	40.7790	-7.20	-11.70	70.22	0.00	0.0	0.25	0.75	M
JFK	2015-01-06 14:28	-73.7622	40.6386	-7.00	-12.00	67.51	0.00	0.0	0.25	1.00	M
LGA	2015-01-06 14:32	-73.8803	40.7794	-8.00	-11.00	79.00	200.00	3.5	0.25	0.75	M
LGA	2015-01-06 14:51	-73.8803	40.7794	-7.80	-10.60	80.29	220.00	5.8	0.25	0.75	M
JFK	2015-01-06 14:51	-73.7622	40.6386	-6.70	-10.60	73.77	0.00	0.0	0.51	1.00	M
NYC	2015-01-06 14:51	-73.9693	40.7790	-7.20	-10.60	76.66	0.00	0.0	0.51	0.75	M
JFK	2015-01-06 15:14	-73.7622	40.6386	-7.00	-11.00	73.13	0.00	0.0	0.00	2.00	M
NYC	2015-01-06 15:14	-73.9693	40.7790	-6.70	-11.10	70.89	0.00	0.0	0.00	1.50	M
NYC	2015-01-06 15:22	-73.9693	40.7790	-7.20	-11.10	73.67	0.00	0.0	0.00	1.25	M
NYC	2015-01-06 15:35	-73.9693	40.7790	-6.70	-10.00	77.35	0.00	0.0	0.25	0.50	M
LGA	2015-01-06 15:48	-73.8803	40.7794	-7.00	-10.00	79.16	150.00	5.8	0.76	1.00	M
NYC	2015-01-06 15:51	-73.9693	40.7790	-6.70	-10.00	77.35	0.00	0.0	0.51	0.25	M
LGA	2015-01-06 15:51	-73.8803	40.7794	-7.20	-10.00	80.38	0.00	0.0	0.76	1.00	M
JFK	2015-01-06 15:51	-73.7622	40.6386	-6.70	-10.60	73.77	0.00	0.0	0.51	2.00	M
LGA	2015-01-06 16:04	-73.8803	40.7794	-7.00	-11.00	73.13	230.00	4.6	0.00	1.75	M
LGA	2015-01-06 16:18	-73.8803	40.7794	-7.00	-11.00	73.13	M	5.8	0.00	1.25	M
JFK	2015-01-06 16:23	-73.7622	40.6386	-7.00	-10.00	79.16	0.00	0.0	0.00	0.50	M
LGA	2015-01-06 16:27	-73.8803	40.7794	-7.00	-10.00	79.16	230.00	6.9	0.00	0.50	M
NYC	2015-01-06 16:36	-73.9693	40.7790	-6.70	-11.10	70.89	M	6.9	0.25	0.50	M
LGA	2015-01-06 16:44	-73.8803	40.7794	-7.00	-10.00	79.16	240.00	10.4	0.00	1.50	M
JFK	2015-01-06 16:51	-73.7622	40.6386	-6.70	-10.00	77.35	210.00	3.5	0.25	0.50	M
NYC	2015-01-06 16:51	-73.9693	40.7790	-6.70	-11.10	70.89	230.00	3.5	0.25	0.75	17.3
LGA	2015-01-06 16:51	-73.8803	40.7794	-6.70	-10.60	73.77	230.00	8.1	0.00	1.50	M
NYC	2015-01-06 16:58	-73.9693	40.7790	-6.70	-11.10	70.89	260.00	10.4	0.00	1.00	M
JFK	2015-01-06 17:12	-73.7622	40.6386	-6.00	-9.00	79.31	0.00	0.0	0.51	0.50	M
JFK	2015-01-06 17:26	-73.7622	40.6386	-6.00	-9.00	79.31	230.00	6.9	0.51	1.50	M
NYC	2015-01-06 17:30	-73.9693	40.7790	-6.70	-11.10	70.89	240.00	8.1	0.00	1.00	M
NYC	2015-01-06 17:38	-73.9693	40.7790	-6.10	-10.60	70.46	0.00	0.0	0.00	1.00	M
LGA	2015-01-06 17:44	-73.8803	40.7794	-7.00	-10.00	79.16	240.00	8.1	0.25	2.00	M
JFK	2015-01-06 17:47	-73.7622	40.6386	-6.00	-9.00	79.31	250.00	9.2	0.51	2.50	M
NYC	2015-01-06 17:51	-73.9693	40.7790	-6.10	-10.60	70.46	M	4.6	0.00	1.75	M
LGA	2015-01-06 17:51	-73.8803	40.7794	-6.70	-10.00	77.35	240.00	8.1	0.25	2.50	M
JFK	2015-01-06 17:51	-73.7622	40.6386	-5.60	-9.40	74.56	240.00	9.2	0.51	2.50	M
NYC	2015-01-06 18:01	-73.9693	40.7790	-6.10	-11.10	67.71	270.00	5.8	0.00	2.00	M
LGA	2015-01-06 18:03	-73.8803	40.7794	-6.00	-11.00	67.73	230.00	6.9	0.00	3.00	M
NYC	2015-01-06 18:20	-73.9693	40.7790	-6.10	-11.70	64.54	M	M	0.00	3.00	M
NYC	2015-01-06 18:44	-73.9693	40.7790	-6.10	-11.10	67.71	270.00	8.1	0.00	3.00	M
JFK	2015-01-06 18:44	-73.7622	40.6386	-6.00	-10.00	73.32	240.00	9.2	0.00	7.00	M
NYC	2015-01-06 18:51	-73.9693	40.7790	-6.10	-12.20	62.00	280.00	9.2	0.00	4.00	M
JFK	2015-01-06 18:51	-73.7622	40.6386	-5.60	-10.00	71.12	260.00	8.1	0.00	8.00	M
LGA	2015-01-06 18:51	-73.8803	40.7794	-6.10	-10.60	70.46	210.00	6.9	0.00	3.00	M
NYC	2015-01-06 19:09	-73.9693	40.7790	-6.10	-11.70	64.54	280.00	6.9	0.00	2.50	M
NYC	2015-01-06 19:17	-73.9693	40.7790	-6.10	-11.70	64.54	270.00	4.6	0.00	3.00	M
JFK	2015-01-06 19:51	-73.7622	40.6386	-5.60	-10.00	71.12	250.00	4.6	0.00	7.00	M
NYC	2015-01-06 19:51	-73.9693	40.7790	-5.60	-11.10	65.18	0.00	0.0	0.00	7.00	M
LGA	2015-01-06 19:51	-73.8803	40.7794	-6.10	-10.60	70.46	0.00	0.0	0.00	3.00	M
JFK	2015-01-06 20:51	-73.7622	40.6386	-5.60	-9.40	74.56	290.00	6.9	0.00	6.00	M
LGA	2015-01-06 20:51	-73.8803	40.7794	-5.60	-11.10	65.18	310.00	8.1	0.00	9.00	M
NYC	2015-01-06 20:51	-73.9693	40.7790	-6.10	-11.10	67.71	M	3.5	0.00	6.00	M
LGA	2015-01-06 21:04	-73.8803	40.7794	-6.00	-12.00	62.53	M	5.8	0.00	7.00	M
NYC	2015-01-06 21:51	-73.9693	40.7790	-6.10	-10.60	70.46	310.00	4.6	0.00	4.00	M
LGA	2015-01-06 21:51	-73.8803	40.7794	-5.60	-10.00	71.12	M	6.9	0.00	7.00	M
JFK	2015-01-06 21:51	-73.7622	40.6386	-5.60	-10.00	71.12	280.00	6.9	0.00	6.00	M
NYC	2015-01-06 22:48	-73.9693	40.7790	-6.00	-11.00	67.73	0.00	0.0	0.00	10.00	M
LGA	2015-01-06 22:51	-73.8803	40.7794	-5.60	-10.60	67.82	M	4.6	0.00	10.00	M
JFK	2015-01-06 22:51	-73.7622	40.6386	-6.10	-11.70	64.54	280.00	6.9	0.00	10.00	M
NYC	2015-01-06 22:51	-73.9693	40.7790	-6.10	-11.10	67.71	0.00	0.0	0.00	10.00	M
NYC	2015-01-06 23:23	-73.9693	40.7790	-6.10	-11.70	64.54	M	4.6	0.00	10.00	M
NYC	2015-01-06 23:51	-73.9693	40.7790	-6.10	-11.70	64.54	300.00	5.8	0.00	10.00	M
LGA	2015-01-06 23:51	-73.8803	40.7794	-6.10	-11.10	67.71	260.00	8.1	0.00	10.00	M
JFK	2015-01-06 23:51	-73.7622	40.6386	-6.10	-11.70	64.54	290.00	9.2	0.00	10.00	M
LGA	2015-01-07 00:51	-73.8803	40.7794	-6.10	-11.10	67.71	260.00	10.4	0.00	10.00	M
NYC	2015-01-07 00:51	-73.9693	40.7790	-6.10	-11.10	67.71	260.00	8.1	0.00	9.00	M
JFK	2015-01-07 00:51	-73.7622	40.6386	-5.60	-10.60	67.82	250.00	15.0	0.00	10.00	M
JFK	2015-01-07 01:51	-73.7622	40.6386	-5.60	-10.60	67.82	260.00	15.0	0.00	10.00	M
LGA	2015-01-07 01:51	-73.8803	40.7794	-5.60	-10.60	67.82	250.00	15.0	0.00	10.00	24.2
NYC	2015-01-07 01:51	-73.9693	40.7790	-6.10	-10.60	70.46	M	3.5	0.00	9.00	M
JFK	2015-01-07 02:51	-73.7622	40.6386	-5.60	-10.00	71.12	260.00	15.0	0.00	10.00	M
LGA	2015-01-07 02:51	-73.8803	40.7794	-6.10	-10.60	70.46	260.00	15.0	0.00	10.00	M
NYC	2015-01-07 02:51	-73.9693	40.7790	-6.10	-10.60	70.46	M	M	0.00	9.00	M
JFK	2015-01-07 03:18	-73.7622	40.6386	-6.00	-10.00	73.32	280.00	13.8	0.00	10.00	M
NYC	2015-01-07 03:51	-73.9693	40.7790	-6.10	-10.60	70.46	280.00	9.2	0.00	8.00	17.3
LGA	2015-01-07 03:51	-73.8803	40.7794	-5.60	-10.00	71.12	300.00	9.2	0.00	10.00	M
JFK	2015-01-07 03:51	-73.7622	40.6386	-5.60	-10.00	71.12	280.00	10.4	0.00	10.00	M
JFK	2015-01-07 04:51	-73.7622	40.6386	-6.10	-11.70	64.54	300.00	8.1	0.00	10.00	M
LGA	2015-01-07 04:51	-73.8803	40.7794	-6.10	-10.60	70.46	310.00	12.7	0.00	10.00	M
NYC	2015-01-07 04:51	-73.9693	40.7790	-6.70	-11.10	70.89	M	3.5	0.00	9.00	M
NYC	2015-01-07 05:51	-73.9693	40.7790	-6.70	-11.70	67.58	270.00	4.6	0.00	9.00	M
JFK	2015-01-07 05:51	-73.7622	40.6386	-6.10	-11.70	64.54	270.00	12.7	0.00	10.00	M
LGA	2015-01-07 05:51	-73.8803	40.7794	-6.10	-11.70	64.54	250.00	9.2	0.00	10.00	M
JFK	2015-01-07 06:51	-73.7622	40.6386	-6.10	-10.60	70.46	260.00	15.0	0.00	10.00	M
NYC	2015-01-07 06:51	-73.9693	40.7790	-6.70	-12.20	64.92	M	M	0.00	10.00	M
LGA	2015-01-07 06:51	-73.8803	40.7794	-6.10	-12.80	59.08	270.00	11.5	0.00	10.00	20.7
LGA	2015-01-07 07:51	-73.8803	40.7794	-6.10	-13.30	56.73	250.00	17.3	0.00	10.00	24.2
JFK	2015-01-07 07:51	-73.7622	40.6386	-5.60	-12.20	59.69	270.00	13.8	0.00	10.00	M
NYC	2015-01-07 07:51	-73.9693	40.7790	-6.70	-12.80	61.85	M	6.9	0.00	10.00	M
LGA	2015-01-07 08:51	-73.8803	40.7794	-5.60	-13.30	54.61	260.00	13.8	0.00	10.00	19.6
JFK	2015-01-07 08:51	-73.7622	40.6386	-5.60	-12.20	59.69	260.00	10.4	0.00	10.00	M
NYC	2015-01-07 08:51	-73.9693	40.7790	-6.10	-12.80	59.08	260.00	6.9	0.00	10.00	M
NYC	2015-01-07 09:51	-73.9693	40.7790	-5.60	-12.20	59.69	260.00	9.2	0.00	10.00	M
JFK	2015-01-07 09:51	-73.7622	40.6386	-5.60	-11.70	62.13	260.00	12.7	0.00	10.00	M
LGA	2015-01-07 09:51	-73.8803	40.7794	-5.60	-12.20	59.69	230.00	9.2	0.00	10.00	M
LGA	2015-01-07 10:51	-73.8803	40.7794	-5.60	-11.70	62.13	260.00	13.8	0.00	10.00	M
NYC	2015-01-07 10:51	-73.9693	40.7790	-6.10	-12.20	62.00	M	M	0.00	10.00	M
JFK	2015-01-07 10:51	-73.7622	40.6386	-5.00	-11.10	62.28	270.00	13.8	0.00	10.00	M
NYC	2015-01-07 11:51	-73.9693	40.7790	-6.10	-11.70	64.54	270.00	4.6	0.00	10.00	17.3
JFK	2015-01-07 11:51	-73.7622	40.6386	-5.60	-11.10	65.18	260.00	15.0	0.00	10.00	M
LGA	2015-01-07 11:51	-73.8803	40.7794	-6.10	-12.20	62.00	280.00	12.7	0.00	10.00	23.0
NYC	2015-01-07 12:51	-73.9693	40.7790	-6.10	-13.30	56.73	290.00	13.8	0.00	10.00	23.0
JFK	2015-01-07 12:51	-73.7622	40.6386	-5.60	-11.70	62.13	280.00	11.5	0.00	10.00	19.6
LGA	2015-01-07 12:51	-73.8803	40.7794	-5.60	-12.80	56.87	290.00	20.7	0.00	10.00	31.1
LGA	2015-01-07 13:51	-73.8803	40.7794	-5.60	-13.30	54.61	300.00	27.6	0.00	10.00	36.8
JFK	2015-01-07 13:51	-73.7622	40.6386	-5.60	-14.40	49.92	290.00	20.7	0.00	10.00	28.8
NYC	2015-01-07 13:51	-73.9693	40.7790	-6.10	-15.00	49.37	290.00	13.8	0.00	10.00	28.8
LGA	2015-01-07 14:51	-73.8803	40.7794	-5.00	-14.40	47.70	280.00	20.7	0.00	10.00	28.8
JFK	2015-01-07 14:51	-73.7622	40.6386	-4.40	-15.00	43.40	280.00	19.6	0.00	10.00	29.9
NYC	2015-01-07 14:51	-73.9693	40.7790	-5.60	-15.60	45.22	280.00	16.1	0.00	10.00	28.8
NYC	2015-01-07 15:51	-73.9693	40.7790	-5.00	-16.70	39.43	290.00	13.8	0.00	10.00	32.2
JFK	2015-01-07 15:51	-73.7622	40.6386	-3.90	-14.40	43.91	280.00	21.9	0.00	10.00	32.2
LGA	2015-01-07 15:51	-73.8803	40.7794	-4.40	-15.00	43.40	280.00	21.9	0.00	10.00	35.7
JFK	2015-01-07 16:51	-73.7622	40.6386	-4.40	-16.10	39.62	290.00	21.9	0.00	10.00	33.4
NYC	2015-01-07 16:51	-73.9693	40.7790	-5.00	-17.20	37.81	290.00	16.1	0.00	10.00	29.9
LGA	2015-01-07 16:51	-73.8803	40.7794	-5.00	-16.10	41.45	270.00	21.9	0.00	10.00	34.5
NYC	2015-01-07 17:51	-73.9693	40.7790	-5.60	-14.40	49.92	280.00	8.1	0.00	10.00	28.8
JFK	2015-01-07 17:51	-73.7622	40.6386	-4.40	-16.10	39.62	280.00	27.6	0.00	10.00	36.8
LGA	2015-01-07 17:51	-73.8803	40.7794	-5.60	-11.70	62.13	290.00	23.0	0.00	10.00	33.4
NYC	2015-01-07 18:51	-73.9693	40.7790	-5.00	-13.90	49.69	290.00	16.1	0.00	10.00	27.6
JFK	2015-01-07 18:51	-73.7622	40.6386	-4.40	-16.70	37.68	300.00	24.2	0.00	10.00	35.7
LGA	2015-01-07 18:51	-73.8803	40.7794	-5.00	-14.40	47.70	290.00	20.7	0.00	8.00	35.7
LGA	2015-01-07 19:51	-73.8803	40.7794	-3.90	-15.00	41.80	280.00	20.7	0.00	8.00	29.9
JFK	2015-01-07 19:51	-73.7622	40.6386	-5.60	-15.00	47.52	290.00	17.3	0.00	10.00	28.8
NYC	2015-01-07 19:51	-73.9693	40.7790	-5.60	-16.70	41.26	290.00	11.5	0.00	10.00	25.3
LGA	2015-01-07 20:15	-73.8803	40.7794	-6.00	-11.00	67.73	320.00	23.0	0.00	2.00	36.8
LGA	2015-01-07 20:20	-73.8803	40.7794	-7.00	-11.00	73.13	310.00	19.6	0.00	5.00	36.8
LGA	2015-01-07 20:51	-73.8803	40.7794	-5.60	-13.90	52.01	310.00	20.7	0.00	10.00	29.9
NYC	2015-01-07 20:51	-73.9693	40.7790	-6.10	-18.90	35.60	310.00	17.3	0.00	10.00	31.1
JFK	2015-01-07 20:51	-73.7622	40.6386	-5.60	-16.70	41.26	290.00	20.7	0.00	10.00	31.1
LGA	2015-01-07 21:51	-73.8803	40.7794	-6.70	-20.00	33.92	300.00	21.9	0.00	10.00	38.0
NYC	2015-01-07 21:51	-73.9693	40.7790	-7.20	-23.90	25.04	290.00	18.4	0.00	10.00	34.5
JFK	2015-01-07 21:51	-73.7622	40.6386	-6.70	-20.60	32.20	320.00	31.1	0.00	10.00	39.1
LGA	2015-01-07 22:51	-73.8803	40.7794	-8.30	-19.40	40.41	300.00	29.9	0.00	10.00	40.3
JFK	2015-01-07 22:51	-73.7622	40.6386	-7.80	-21.70	31.85	320.00	33.4	0.00	10.00	41.4
NYC	2015-01-07 22:51	-73.9693	40.7790	-8.30	-22.80	30.06	310.00	16.1	0.00	10.00	33.4
JFK	2015-01-07 23:51	-73.7622	40.6386	-9.40	-23.30	31.34	310.00	34.5	0.00	10.00	43.7
NYC	2015-01-07 23:51	-73.9693	40.7790	-9.40	-23.30	31.34	310.00	11.5	0.00	10.00	24.2
LGA	2015-01-07 23:51	-73.8803	40.7794	-9.40	-19.40	44.04	320.00	25.3	0.00	10.00	39.1
JFK	2015-01-08 00:51	-73.7622	40.6386	-10.60	-24.40	31.24	320.00	28.8	0.00	10.00	39.1
NYC	2015-01-08 00:51	-73.9693	40.7790	-11.10	-25.00	30.80	310.00	20.7	0.00	10.00	32.2
LGA	2015-01-08 00:51	-73.8803	40.7794	-10.60	-20.60	43.66	310.00	24.2	0.00	10.00	38.0
NYC	2015-01-08 01:51	-73.9693	40.7790	-11.70	-23.90	35.66	310.00	13.8	0.00	10.00	24.2
JFK	2015-01-08 01:51	-73.7622	40.6386	-11.10	-25.00	30.80	320.00	29.9	0.00	10.00	40.3
LGA	2015-01-08 01:51	-73.8803	40.7794	-11.70	-21.10	45.63	310.00	26.5	0.00	10.00	38.0
NYC	2015-01-08 02:51	-73.9693	40.7790	-12.20	-23.90	37.12	300.00	13.8	0.00	10.00	27.6
LGA	2015-01-08 02:51	-73.8803	40.7794	-11.70	-18.90	55.15	320.00	26.5	0.00	10.00	38.0
JFK	2015-01-08 02:51	-73.7622	40.6386	-11.70	-23.90	35.66	310.00	21.9	0.00	10.00	31.1
LGA	2015-01-08 03:51	-73.8803	40.7794	-12.20	-20.00	52.25	310.00	24.2	0.00	10.00	34.5
JFK	2015-01-08 03:51	-73.7622	40.6386	-12.20	-24.40	35.49	310.00	26.5	0.00	10.00	32.2
NYC	2015-01-08 03:51	-73.9693	40.7790	-12.20	-23.90	37.12	310.00	12.7	0.00	10.00	35.7
NYC	2015-01-08 04:51	-73.9693	40.7790	-12.80	-24.40	37.25	320.00	12.7	0.00	10.00	24.2
JFK	2015-01-08 04:51	-73.7622	40.6386	-12.20	-24.40	35.49	310.00	28.8	0.00	10.00	33.4
LGA	2015-01-08 04:51	-73.8803	40.7794	-12.20	-20.60	49.61	310.00	16.1	0.00	10.00	32.2
NYC	2015-01-08 05:51	-73.9693	40.7790	-12.80	-24.40	37.25	300.00	9.2	0.00	10.00	24.2
LGA	2015-01-08 05:51	-73.8803	40.7794	-12.20	-20.60	49.61	310.00	20.7	0.00	10.00	31.1
JFK	2015-01-08 05:51	-73.7622	40.6386	-12.80	-24.40	37.25	310.00	24.2	0.00	10.00	36.8
LGA	2015-01-08 06:51	-73.8803	40.7794	-12.80	-21.10	49.86	320.00	21.9	0.00	10.00	33.4
NYC	2015-01-08 06:51	-73.9693	40.7790	-13.30	-24.40	38.79	310.00	11.5	0.00	10.00	27.6
JFK	2015-01-08 06:51	-73.7622	40.6386	-12.80	-24.40	37.25	310.00	27.6	0.00	10.00	35.7
NYC	2015-01-08 07:51	-73.9693	40.7790	-13.30	-24.40	38.79	310.00	13.8	0.00	10.00	24.2
LGA	2015-01-08 07:51	-73.8803	40.7794	-12.20	-20.60	49.61	310.00	17.3	0.00	10.00	26.5
JFK	2015-01-08 07:51	-73.7622	40.6386	-12.80	-24.40	37.25	310.00	21.9	0.00	10.00	32.2
LGA	2015-01-08 08:51	-73.8803	40.7794	-13.30	-21.70	49.27	310.00	10.4	0.00	10.00	25.3
JFK	2015-01-08 08:51	-73.7622	40.6386	-12.80	-23.30	41.09	290.00	15.0	0.00	10.00	M
NYC	2015-01-08 08:51	-73.9693	40.7790	-13.30	-22.80	44.73	290.00	10.4	0.00	10.00	21.9
JFK	2015-01-08 09:51	-73.7622	40.6386	-12.80	-22.80	42.95	300.00	19.6	0.00	10.00	M
LGA	2015-01-08 09:51	-73.8803	40.7794	-12.80	-21.10	49.86	300.00	13.8	0.00	10.00	19.6
NYC	2015-01-08 09:51	-73.9693	40.7790	-13.30	-22.80	44.73	280.00	13.8	0.00	10.00	19.6
JFK	2015-01-08 10:51	-73.7622	40.6386	-12.20	-22.20	43.15	290.00	16.1	0.00	10.00	25.3
LGA	2015-01-08 10:51	-73.8803	40.7794	-12.80	-20.60	52.07	300.00	16.1	0.00	10.00	23.0
NYC	2015-01-08 10:51	-73.9693	40.7790	-12.80	-22.20	45.28	300.00	9.2	0.00	10.00	M
JFK	2015-01-08 11:51	-73.7622	40.6386	-12.20	-22.20	43.15	280.00	17.3	0.00	10.00	M
LGA	2015-01-08 11:51	-73.8803	40.7794	-12.20	-20.60	49.61	280.00	9.2	0.00	10.00	20.7
NYC	2015-01-08 11:51	-73.9693	40.7790	-12.80	-22.20	45.28	270.00	11.5	0.00	10.00	20.7
JFK	2015-01-08 12:51	-73.7622	40.6386	-11.70	-21.10	45.63	270.00	11.5	0.00	10.00	18.4
NYC	2015-01-08 12:51	-73.9693	40.7790	-12.80	-21.10	49.86	M	5.8	0.00	10.00	M
LGA	2015-01-08 12:51	-73.8803	40.7794	-12.20	-20.60	49.61	260.00	16.1	0.00	10.00	23.0
JFK	2015-01-08 13:51	-73.7622	40.6386	-10.60	-19.40	48.41	290.00	16.1	0.00	10.00	21.9
LGA	2015-01-08 13:51	-73.8803	40.7794	-11.70	-19.40	52.85	250.00	17.3	0.00	10.00	21.9
NYC	2015-01-08 13:51	-73.9693	40.7790	-11.70	-20.00	50.19	280.00	6.9	0.00	10.00	M
LGA	2015-01-08 14:51	-73.8803	40.7794	-10.60	-18.90	50.52	260.00	15.0	0.00	10.00	24.2
JFK	2015-01-08 14:51	-73.7622	40.6386	-9.40	-18.30	48.37	270.00	17.3	0.00	10.00	M
NYC	2015-01-08 14:51	-73.9693	40.7790	-10.60	-19.40	48.41	280.00	9.2	0.00	10.00	17.3
NYC	2015-01-08 15:51	-73.9693	40.7790	-8.90	-18.90	44.19	M	4.6	0.00	10.00	M
LGA	2015-01-08 15:51	-73.8803	40.7794	-9.40	-18.90	45.96	260.00	17.3	0.00	10.00	M
JFK	2015-01-08 15:51	-73.7622	40.6386	-8.30	-18.30	44.38	290.00	16.1	0.00	10.00	M
NYC	2015-01-08 16:51	-73.9693	40.7790	-7.80	-18.90	40.57	M	M	0.00	10.00	M
LGA	2015-01-08 16:51	-73.8803	40.7794	-8.30	-18.90	42.17	260.00	13.8	0.00	10.00	M
JFK	2015-01-08 16:51	-73.7622	40.6386	-7.20	-18.30	40.76	280.00	18.4	0.00	10.00	M
NYC	2015-01-08 17:51	-73.9693	40.7790	-6.70	-18.30	39.22	270.00	6.9	0.00	10.00	M
JFK	2015-01-08 17:51	-73.7622	40.6386	-6.10	-17.80	39.08	290.00	11.5	0.00	10.00	M
LGA	2015-01-08 17:51	-73.8803	40.7794	-7.20	-18.30	40.76	280.00	11.5	0.00	10.00	23.0
JFK	2015-01-08 18:51	-73.7622	40.6386	-6.10	-18.30	37.46	280.00	15.0	0.00	10.00	25.3
LGA	2015-01-08 18:51	-73.8803	40.7794	-6.70	-17.80	40.92	250.00	13.8	0.00	10.00	M
NYC	2015-01-08 18:51	-73.9693	40.7790	-6.70	-18.30	39.22	260.00	8.1	0.00	10.00	M
JFK	2015-01-08 19:51	-73.7622	40.6386	-5.60	-17.80	37.62	270.00	16.1	0.00	10.00	21.9
LGA	2015-01-08 19:51	-73.8803	40.7794	-6.70	-18.30	39.22	260.00	13.8	0.00	10.00	21.9
NYC	2015-01-08 19:51	-73.9693	40.7790	-6.70	-18.30	39.22	240.00	6.9	0.00	10.00	M
NYC	2015-01-08 20:51	-73.9693	40.7790	-6.70	-17.80	40.92	M	4.6	0.00	10.00	M
LGA	2015-01-08 20:51	-73.8803	40.7794	-6.70	-17.80	40.92	260.00	11.5	0.00	10.00	19.6
JFK	2015-01-08 20:51	-73.7622	40.6386	-6.70	-17.80	40.92	290.00	13.8	0.00	10.00	M
LGA	2015-01-08 21:51	-73.8803	40.7794	-7.20	-17.20	44.73	250.00	11.5	0.00	10.00	M
JFK	2015-01-08 21:51	-73.7622	40.6386	-6.70	-16.70	44.88	250.00	13.8	0.00	10.00	M
NYC	2015-01-08 21:51	-73.9693	40.7790	-7.20	-18.30	40.76	M	6.9	0.00	10.00	M
JFK	2015-01-08 22:51	-73.7622	40.6386	-7.20	-16.70	46.64	250.00	17.3	0.00	10.00	M
